Numero,Seccion,Ubicacion,Precio,Estado,Cliente,Fecha Venta
NE22,A,FE-C22,Sin precio,Disponible,,
NE23,A,FE-C23,Sin precio,Disponible,,
NE24,A,FE-C24,Sin precio,Disponible,,
NE25,A,FE-C25,Sin precio,Disponible,,
NE26,A,FE-C26,Sin precio,Disponible,,
NE27,A,FE-C27,Sin precio,Disponible,,
NE28,A,FE-C28,Sin precio,Disponible,,
NE03,A,FE-C3,Sin precio,Disponible,,
NE04,A,FE-C4,Sin precio,Disponible,,
NE05,A,FE-C5,Sin precio,Disponible,,
NE06,A,FE-C6,Sin precio,Disponible,,
NE07,A,FE-C7,Sin precio,Disponible,,
NE08,A,FE-C8,Sin precio,Disponible,,
NE09,A,FE-C9,Sin precio,Disponible,,
NF01,A,FF-C1,Sin precio,Disponible,,
NF10,A,FF-C10,Sin precio,Disponible,,
NF11,A,FF-C11,Sin precio,Disponible,,
NF12,A,FF-C12,Sin precio,Disponible,,
NF13,A,FF-C13,Sin precio,Disponible,,
NF14,A,FF-C14,Sin precio,Disponible,,
NF15,A,FF-C15,Sin precio,Disponible,,
NF16,A,FF-C16,Sin precio,Disponible,,
NF17,A,FF-C17,Sin precio,Disponible,,
NF18,A,FF-C18,Sin precio,Disponible,,
NF19,A,FF-C19,Sin precio,Disponible,,
NF02,A,FF-C2,Sin precio,Disponible,,
NF20,A,FF-C20,Sin precio,Disponible,,
NF21,A,FF-C21,Sin precio,Disponible,,
NF22,A,FF-C22,Sin precio,Disponible,,
NF23,A,FF-C23,Sin precio,Disponible,,
NF24,A,FF-C24,Sin precio,Disponible,,
NF25,A,FF-C25,Sin precio,Disponible,,
NF26,A,FF-C26,Sin precio,Disponible,,
NF27,A,FF-C27,Sin precio,Disponible,,
NF28,A,FF-C28,Sin precio,Disponible,,
NF03,A,FF-C3,Sin precio,Disponible,,
NF04,A,FF-C4,Sin precio,Disponible,,
NF05,A,FF-C5,Sin precio,Disponible,,
NF06,A,FF-C6,Sin precio,Disponible,,
NF07,A,FF-C7,Sin precio,Disponible,,
NF08,A,FF-C8,Sin precio,Disponible,,
NF09,A,FF-C9,Sin precio,Disponible,,
NG01,A,FG-C1,Sin precio,Disponible,,
NG10,A,FG-C10,Sin precio,Disponible,,
NG11,A,FG-C11,Sin precio,Disponible,,
NG12,A,FG-C12,Sin precio,Disponible,,
NG13,A,FG-C13,Sin precio,Disponible,,
NG14,A,FG-C14,Sin precio,Disponible,,
NG15,A,FG-C15,Sin precio,Disponible,,
NG16,A,FG-C16,Sin precio,Disponible,,
NG17,A,FG-C17,Sin precio,Disponible,,
NG18,A,FG-C18,Sin precio,Disponible,,
NG19,A,FG-C19,Sin precio,Disponible,,
NG02,A,FG-C2,Sin precio,Disponible,,
NG20,A,FG-C20,Sin precio,Disponible,,
NG21,A,FG-C21,Sin precio,Disponible,,
NG22,A,FG-C22,Sin precio,Disponible,,
NG23,A,FG-C23,Sin precio,Disponible,,
NG24,A,FG-C24,Sin precio,Disponible,,
NG25,A,FG-C25,Sin precio,Disponible,,
NG26,A,FG-C26,Sin precio,Disponible,,
NG27,A,FG-C27,Sin precio,Disponible,,
NG28,A,FG-C28,Sin precio,Disponible,,
NG03,A,FG-C3,Sin precio,Disponible,,
NG04,A,FG-C4,Sin precio,Disponible,,
NG05,A,FG-C5,Sin precio,Disponible,,
NG06,A,FG-C6,Sin precio,Disponible,,
NG07,A,FG-C7,Sin precio,Disponible,,
NG08,A,FG-C8,Sin precio,Disponible,,
NG09,A,FG-C9,Sin precio,Disponible,,
